food,calories,protein,fat,carbs,sugar,fiber,cholesterol,cost
rice crisps,107.0,1.8,0.4,24.1,2.3,0.2,0.0,14
parboiled white rice raw,692.0,13.9,1.9,149.6,0.6,3.3,0.0,94
instant white rice cooked,193.0,3.6,0.8,41.4,0.0,1.0,0.0,26
rice pilaf raw,732.0,21.3,2.8,155.7,3.1,2.4,0.0,112
rice cracker cake,111.0,2.0,1.2,23.0,0.2,1.2,0.0,15
parboiled white rice cooked,194.0,4.6,0.6,41.2,0.2,1.4,0.0,28
white rice steamed,199.0,4.2,0.4,44.7,0.0,1.2,0.0,28
brown rice cake,35.0,0.7,0.3,7.3,0.047,0.4,0.0,10
glutinous white rice raw,685.0,12.6,1.0,151.1,0.0,5.2,0.0,91
white rice pasta raw,600.0,15.3,4.0,122.8,0.0,0.0,3.3,88
glutinous white rice cooked,169.0,3.5,0.3,36.7,0.078,1.7,0.0,23
brown rice cooked,218.0,4.5,1.6,45.8,0.7,3.5,0.0,30
beef flavored rice cooked,319.0,7.0,7.9,54.4,0.0,1.5,0.0,45
white rice cooked,205.0,4.3,0.4,44.5,0.015,0.6,0.0,28
chicken flavored rice cooked,317.0,6.2,8.0,54.8,1.5,1.6,0.0,44
white rice raw,675.0,13.2,1.2,147.9,0.2,2.4,0.0,91
cheese imitation,441.0,28.3,36.2,1.1,1.1,0.0,17.0,97
cheshire cheese,110.0,6.6,8.7,1.4,0.0,0.0,29.1,24
monterey cheese,421.0,27.7,34.2,0.8,0.6,0.0,100.6,94
edam cheese,107.0,7.5,8.3,0.4,0.0,0.0,26.7,25
fontina cheese,420.0,27.6,33.6,1.7,1.7,0.0,125.3,94
monterey cheese low fat,350.0,31.9,24.4,0.8,0.6,0.0,73.5,94
colby cheese,445.0,26.8,36.3,2.9,0.6,0.0,107.4,95
american cheese,93.0,4.5,7.9,0.9,0.6,0.0,25.0,18
blue cheese,106.0,6.4,8.6,0.7,0.2,0.0,22.5,23
nectarine,66.0,1.6,0.5,15.8,11.8,2.6,0.0,10
kiwifruit gold,51.0,0.8,0.2,12.8,10.0,1.1,0.0,10
prickly pear raw,8.0,0.001,0.072,1.9,0.2,1.0,0.0,10
pineapple,45.0,0.5,0.1,11.8,8.9,1.3,0.0,10
rowan,253.0,5.2,4.6,54.5,32.1,14.1,0.0,37
muscadine grapes,3.0,0.014,0.056,0.8,0.0,0.2,0.0,10
heidelbeeren jutro,17.0,0.0,0.2,0.4,0.0,0.0,0.0,10
prunes stewed,316.0,3.4,0.7,83.2,0.0,0.0,0.0,40
tangerine,40.0,0.6,0.2,10.1,8.0,1.4,0.0,10
prunes,237.0,2.6,0.5,62.3,0.0,0.0,0.0,30
lemon peel,1.0,0.032,0.002,0.3,0.054,0.2,0.0,10
banana,134.0,1.6,0.5,34.3,18.3,3.9,0.0,18
raspberries,5.0,0.1,0.034,1.2,0.4,0.7,0.0,10
apricot,17.0,0.5,0.1,3.9,3.2,0.7,0.0,10
strawberry guava,4.0,0.01,0.008,1.0,0.0,0.3,0.0,10
kiwifruit green,42.0,0.8,0.4,10.1,6.2,2.1,0.0,10
figs,37.0,0.4,0.2,9.6,8.1,1.5,0.0,10
clementine,35.0,0.6,0.1,8.9,6.8,1.3,0.0,10
orange,86.0,1.7,0.2,21.6,17.2,4.4,0.0,13
bartlett pear,112.0,0.7,0.3,26.6,17.2,5.5,0.0,13
red white currants,63.0,1.6,0.2,15.5,8.3,4.8,0.0,10
blueberries,84.0,1.1,0.5,21.4,14.7,3.6,0.0,11
mulberries,6.0,0.2,0.049,1.5,1.2,0.3,0.0,10
java plum,2.0,0.034,0.029,0.5,0.0,0.0,0.0,10
prune puree,46.0,0.4,0.02,11.7,7.0,0.6,0.0,10
applesauce,102.0,0.4,0.2,27.5,22.9,2.7,0.0,12
blackberries raw,62.0,2.0,0.7,13.8,7.0,7.6,0.0,11
plum,30.0,0.5,0.2,7.5,6.5,0.9,0.0,10
american grapes,2.0,0.035,0.087,0.4,0.4,0.09,0.0,10
peach,59.0,1.4,0.4,14.3,12.6,2.3,0.0,10
honeydew melon,64.0,1.0,0.2,16.1,14.4,1.4,0.0,10
yellow plantain fried,399.0,2.4,12.7,68.9,36.8,5.4,0.0,45
rose hips,206.0,2.0,0.4,48.5,3.3,30.6,0.0,25
lemons,17.0,0.6,0.2,5.4,1.5,1.6,0.0,10
lime,20.0,0.5,0.1,7.1,1.1,1.9,0.0,10
pomegranate,117.0,2.4,1.6,26.4,19.3,5.6,0.0,17
gooseberries,66.0,1.3,0.9,15.3,0.0,6.5,0.0,10
asian pear,51.0,0.6,0.3,13.0,8.6,4.4,0.0,10
abiyuch,157.0,3.4,0.2,40.1,19.5,12.1,0.0,23
horned melon kiwano,92.0,3.7,2.6,15.8,0.0,0.0,0.0,17
fruit walnut salad mcdonalds,312.0,4.8,13.3,43.8,32.9,0.0,5.3,41
grapefruit,53.0,1.0,0.2,13.3,8.6,2.0,0.0,10
japanese persimmon,118.0,1.0,0.3,31.2,21.1,6.0,0.0,15
wild raspberries,81.0,1.5,0.4,18.0,7.2,9.8,0.0,11
pink lady apple,18.0,0.1,0.1,3.9,0.0,0.0,0.0,10
maraschino cherries,8.0,0.06,0.083,2.1,1.9,0.2,0.0,10
black currants,71.0,1.6,0.5,17.2,0.0,0.0,0.0,11
plantain cooked,179.0,1.2,0.3,48.0,21.6,3.5,0.0,22
crab apple,84.0,0.4,0.3,21.9,0.0,0.0,0.0,10
pom potes materne,19.0,0.0,0.2,0.2,0.068,0.0,0.0,10
apple,95.0,0.5,0.3,25.1,18.9,4.4,0.0,11
cantaloupe melon,60.0,1.5,0.3,14.4,13.9,1.6,0.0,10
prickly pear cooked,7.0,0.091,0.043,1.6,0.0,0.0,0.0,10
guava,37.0,1.4,0.5,7.9,4.9,3.0,0.0,10
strawberries,4.0,0.01,0.069,0.9,0.6,0.2,0.0,10
japanese persimmon dried,93.0,0.5,0.2,25.0,0.0,4.9,0.0,11
watermelon,86.0,1.7,0.4,21.6,17.7,1.1,0.0,13
elderberries,106.0,1.0,0.7,26.7,0.0,10.2,0.0,13
kumquat,13.0,0.4,0.2,3.0,1.8,1.2,0.0,10
orange peel,6.0,0.093,0.017,1.5,0.0,0.6,0.0,10
pokeberry shoots cooked,33.0,3.8,0.7,5.1,2.6,2.5,0.0,11
breadfruit,227.0,2.4,0.5,59.7,24.2,10.8,0.0,29
pear,101.0,0.6,0.2,27.1,17.4,5.5,0.0,12
sour cherries,52.0,1.0,0.3,12.5,8.7,1.6,0.0,10
plantain raw,218.0,2.3,0.6,57.1,31.3,3.0,0.0,28
blackberries frozen,97.0,1.8,0.6,23.7,16.1,7.6,0.0,14
cherries,5.0,0.068,0.056,1.3,1.0,0.2,0.0,10
plantain fried,16.0,0.023,0.6,2.6,0.2,0.2,0.0,10
carambola starfruit,26.0,0.9,0.3,5.7,3.4,2.4,0.0,10
chayote cooked,35.0,1.0,0.8,7.2,0.0,4.5,0.0,10
apple dippers mcdonalds,33.0,0.0,0.0,8.2,6.3,0.0,0.0,10
white grapefruit,78.0,1.6,0.2,19.8,17.3,2.6,0.0,12
cherimoya,176.0,3.7,1.6,41.6,30.2,7.1,0.0,26
melon balls,57.0,1.5,0.4,13.7,0.0,1.2,0.0,10
golden delicious apple,62.0,0.3,0.2,14.8,10.9,2.6,0.0,10
pokeberry shoots raw,37.0,4.2,0.6,5.9,0.0,2.7,0.0,12
cranberries,21.0,0.2,0.014,5.4,1.9,1.6,0.0,10
quince,52.0,0.4,0.012,14.1,0.0,1.7,0.0,10
chayote raw,25.0,1.1,0.2,6.0,2.2,2.2,0.0,10
orange with peel,100.0,2.1,0.5,24.6,0.0,7.2,0.0,15
chokecherries,249.0,4.7,2.6,51.8,14.4,30.8,0.0,34
mango,202.0,2.8,1.3,50.3,45.9,5.4,0.0,27
wild plum,147.0,0.7,0.3,35.3,17.1,9.7,0.0,16
jeijoa,148.0,1.7,1.0,37.0,19.9,15.6,0.0,19
groundcherries,74.0,2.7,1.0,15.7,0.0,0.0,0.0,13
pesca,30.0,0.0,0.1,0.0,0.0,0.0,0.0,10
persimmon,32.0,0.2,0.1,8.4,0.0,0.0,0.0,10
grapes,3.0,0.045,0.044,0.9,0.8,0.087,0.0,10
rambutan canned,175.0,1.4,0.4,44.7,0.0,1.9,0.0,21
figs canned,14.0,0.1,0.039,3.8,3.2,0.6,0.0,10
prunes canned,246.0,2.0,0.5,65.1,0.0,8.9,0.0,30
pineapples canned,28.0,0.2,0.05,7.4,6.8,0.4,0.0,10
prune plums canned,27.0,0.2,0.075,7.0,6.5,0.4,0.0,10
tangerines canned,92.0,1.5,0.1,23.8,22.1,1.7,0.0,13
fruit cocktail canned,109.0,1.1,0.053,28.1,25.7,2.4,0.0,14
sour cherries canned,189.0,1.9,0.3,48.6,0.0,2.0,0.0,24
mangosteen canned,143.0,0.8,1.1,35.1,0.0,3.5,0.0,17
apricot juice,117.0,1.5,0.07,30.1,26.2,3.9,0.0,15
strawberries canned,234.0,1.4,0.7,59.8,55.4,4.3,0.0,27
peach canned,110.0,1.6,0.094,28.9,25.7,3.3,0.0,15
fruit salad canned,125.0,1.3,0.008,32.5,0.0,2.5,0.0,16
gooseberries canned,184.0,1.6,0.5,47.3,0.0,6.0,0.0,23
grapefruit canned,88.0,1.4,0.2,22.3,21.4,1.0,0.0,12
pear canned,38.0,0.3,0.001,9.8,7.4,1.2,0.0,10
raspberries canned,233.0,2.1,0.3,59.8,51.4,8.4,0.0,28
papaya canned,80.0,0.001,0.2,21.8,20.4,0.6,0.0,10
grapes canned,98.0,1.2,0.3,25.2,23.8,1.5,0.0,13
apple dried,145.0,0.6,0.2,39.1,34.0,5.1,0.0,17
peach dried,199.0,3.0,0.6,50.8,43.8,7.0,0.0,27
plantain chips,150.0,0.6,8.4,18.1,0.3,1.0,0.0,17
golden raisins,498.0,5.6,0.8,131.2,97.7,6.6,0.0,63
raisins seeded,488.0,4.2,0.9,129.5,0.0,11.2,0.0,60
zante currants dried,408.0,5.9,0.4,106.7,96.9,9.8,0.0,54
pear dried,94.0,0.7,0.2,25.1,22.4,2.7,0.0,12
raisins,90.0,1.0,0.056,23.8,19.6,1.4,0.0,12
prune plums dried,308.0,2.7,0.5,81.5,0.0,9.4,0.0,38
cranberries dried,370.0,0.053,1.6,98.8,78.0,6.8,0.0,40
figs dried,21.0,0.3,0.008,5.4,4.0,0.8,0.0,10
longans dried,5.0,0.027,0.091,1.3,0.0,0.0,0.0,10
banana chips,147.0,0.7,9.5,16.5,10.0,2.2,0.0,17
lychee dried,7.0,0.01,0.003,1.8,1.7,0.1,0.0,10
apricot dried,17.0,0.2,0.015,4.4,3.7,0.5,0.0,10
longan,2.0,0.009,0.076,0.5,0.0,0.071,0.0,10
mamey sapote,217.0,2.5,0.8,56.2,35.2,9.5,0.0,28
waxgourd cooked,19.0,0.7,0.4,4.3,2.1,1.8,0.0,10
jackfruit,33.0,0.6,0.2,8.1,6.7,0.5,0.0,10
loquats,9.0,0.09,0.071,2.4,0.0,0.3,0.0,10
mammy apple mamey,431.0,4.2,4.2,105.8,0.0,25.4,0.0,54
nance,82.0,0.7,1.3,19.0,9.3,8.4,0.0,10
coconut whole coconut,3336.0,0.0,71.5,0.0,0.0,0.0,0.0,150
prickly pear,42.0,0.8,0.5,9.9,0.0,3.7,0.0,10
lychee,6.0,0.024,0.016,1.6,1.5,0.1,0.0,10
naranjilla lulo pulp,30.0,0.5,0.3,7.1,4.5,1.3,0.0,10
coconut meat dried,187.0,1.9,18.3,6.7,2.1,4.6,0.0,24
waxgourd raw,17.0,0.5,0.3,4.0,0.0,3.8,0.0,10
surinam cherry pitanga,2.0,0.045,0.059,0.5,0.0,0.0,0.0,10
passion fruit,17.0,0.4,0.1,4.2,2.0,1.9,0.0,10
sapodilla,141.0,0.7,1.9,33.9,0.0,9.0,0.0,17
pummelo,48.0,1.0,0.06,12.0,0.0,1.3,0.0,10
coconut meat,1405.0,13.2,133.0,60.5,24.7,35.7,0.0,150
soursop,149.0,2.3,0.7,37.9,30.5,7.4,0.0,20
papaya,62.0,0.7,0.4,15.7,11.3,2.5,0.0,10
acerola cherry,2.0,0.079,0.052,0.4,0.0,0.077,0.0,10
ohelo berries,39.0,0.5,0.3,9.6,0.0,0.0,0.0,10
loganberries,81.0,2.2,0.5,19.1,11.3,7.8,0.0,13
casaba melon,48.0,1.9,0.2,11.2,9.7,1.5,0.0,10
durian,51.0,0.5,1.9,9.5,0.0,1.3,0.0,10
coriander leaves raw,4.0,0.3,0.086,0.6,0.1,0.4,0.0,10
garden cress raw,3.0,0.2,0.062,0.5,0.4,0.063,0.0,10
pasilla peppers dried,24.0,0.9,1.1,3.6,0.0,1.9,0.0,10
parsley dried,1.0,0.1,0.096,0.3,0.073,0.1,0.0,10
ancho pepper dried,48.0,2.0,1.4,8.7,0.0,3.7,0.0,10
coriander seeds,5.0,0.2,0.3,1.0,0.0,0.8,0.0,10
dill weed dried,253.0,20.0,4.4,55.8,0.0,13.6,0.0,67
borage,19.0,1.6,0.6,2.7,0.0,0.0,0.0,10
epazote,0.0,0.059,0.06,0.094,0.0,0.051,0.0,10
chives dried,1.0,0.013,0.055,0.1,0.0,0.041,0.0,10
thyme fresh,1.0,0.091,0.068,0.2,0.0,0.1,0.0,10
butterbur,4.0,0.1,0.2,0.5,0.0,0.0,0.0,10
wasabi root,142.0,6.2,0.8,30.6,0.0,10.1,0.0,27
rosemary dried,4.0,0.081,0.2,0.8,0.0,0.5,0.0,10
ginger root,2.0,0.068,0.028,0.4,0.019,0.058,0.0,10
white pepper,7.0,0.2,0.0,1.6,0.0,0.6,0.0,10
cloves ground,6.0,0.1,0.3,1.4,0.028,0.7,0.0,10
paprika,19.0,1.0,0.9,3.7,0.7,2.4,0.0,10
mace ground,25.0,0.4,1.7,2.7,0.0,1.1,0.0,10
bay leaf,2.0,0.086,0.042,0.4,0.0,0.2,0.0,10
eppaw,150.0,4.6,1.8,31.7,0.0,0.0,0.0,24
tarragon dried,2.0,0.1,0.047,0.3,0.0,0.038,0.0,10
ginger ground,6.0,0.2,0.043,1.3,0.067,0.3,0.0,10
savory ground,4.0,0.074,0.029,1.0,0.0,0.6,0.0,10
black pepper,6.0,0.2,0.006,1.5,0.08,0.6,0.0,10
spearmint fresh,3.0,0.2,0.089,0.5,0.0,0.4,0.0,10
poultry seasoning,14.0,0.4,0.3,2.9,0.1,0.5,0.0,10
nutmeg ground,12.0,0.1,0.8,1.1,0.6,0.5,0.0,10
curry powder,20.0,0.8,0.9,3.7,0.2,2.1,0.0,10
peppermint,1.0,0.038,0.004,0.2,0.0,0.1,0.0,10
salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
coriander leaves dried,2.0,0.1,0.098,0.3,0.045,0.095,0.0,10
sage ground,2.0,0.058,0.046,0.4,0.052,0.3,0.0,10
garlic powder,10.0,0.5,0.029,2.3,0.068,0.3,0.0,10
dill weed fresh,4.0,0.3,0.063,0.6,0.0,0.2,0.0,10
cardamom,6.0,0.2,0.1,1.4,0.0,0.6,0.0,10
saffron,2.0,0.071,0.092,0.5,0.0,0.002,0.0,10
allspice ground,5.0,0.1,0.2,1.4,0.0,0.4,0.0,10
parsley fresh,1.0,0.1,0.078,0.2,0.001,0.1,0.0,10
oregano dried,265.0,9.0,4.3,68.9,4.1,42.5,0.0,48
marjoram dried,5.0,0.2,0.1,1.0,0.077,0.7,0.0,10
chives raw,1.0,0.03,0.088,0.1,0.02,0.044,0.0,10
fireweed leaves,24.0,1.1,0.6,4.4,0.0,2.4,0.0,10
rosemary fresh,1.0,0.005,0.1,0.1,0.0,0.012,0.0,10
garlic,4.0,0.2,0.026,0.9,0.043,0.064,0.0,10
cinnamon ground,6.0,0.1,0.044,2.1,0.066,1.4,0.0,10
chervil dried,5.0,0.4,0.002,0.9,0.0,0.2,0.0,10
cayenne pepper,1.0,0.039,0.094,0.2,0.089,0.052,0.0,10
turmeric ground,8.0,0.2,0.2,1.4,0.062,0.5,0.0,10
mustard,3.0,0.2,0.2,0.3,0.048,0.2,0.0,10
chili powder,8.0,0.4,0.4,1.3,0.2,0.9,0.0,10
thyme dried,276.0,9.1,7.4,63.9,1.7,37.0,0.0,49
spearmint dried,1.0,0.094,0.018,0.3,0.0,0.1,0.0,10
basil dried,2.0,0.2,0.027,0.3,0.054,0.3,0.0,10
dandelion greens cooked,35.0,2.1,0.6,6.7,1.7,3.0,0.0,10
basil fresh,2.0,0.2,0.089,0.2,0.064,0.1,0.0,10
dock,29.0,2.7,0.9,4.3,0.0,3.9,0.0,10
garden cress cooked,31.0,2.6,0.8,5.1,4.2,0.9,0.0,10
onion powder,8.0,0.2,0.024,1.9,0.2,0.4,0.0,10
dandelion greens raw,25.0,1.5,0.4,5.1,0.4,1.9,0.0,10
yokan,36.0,0.5,0.022,8.5,0.0,0.0,0.0,10
fava beans cooked,187.0,12.9,0.7,33.4,3.1,9.2,0.0,43
french beans raw,631.0,34.6,3.7,118.0,0.0,46.4,0.0,127
chickpeas canned,352.0,17.8,7.0,57.0,0.0,0.0,0.0,69
yellow beans cooked,255.0,16.2,1.9,44.7,0.0,18.4,0.0,56
mung beans cooked,212.0,14.2,0.8,38.7,4.0,15.4,0.0,48
white beans canned,299.0,19.0,0.8,55.5,0.8,12.6,0.0,65
pink beans cooked,252.0,15.3,0.8,47.2,0.6,9.0,0.0,54
pink beans raw,720.0,44.0,2.4,134.8,4.5,26.7,0.0,150
navy beans raw,701.0,46.4,3.1,126.4,8.1,50.8,0.0,150
snap beans cooked,44.0,2.4,0.4,9.9,1.9,4.0,0.0,10
black eyed cowpeas raw,131.0,4.3,0.5,27.3,4.4,7.3,0.0,21
edamame cooked,189.0,18.5,8.1,13.8,3.4,8.1,0.0,54
black eyed cowpeas cooked,160.0,5.2,0.6,33.5,5.3,8.3,0.0,26
hyacinth beans cooked,227.0,15.8,1.1,40.2,0.0,0.0,0.0,52
cowpeas canned,185.0,11.4,1.3,32.7,0.0,7.9,0.0,40
pinto beans cooked,245.0,15.4,1.1,44.8,0.6,15.4,0.0,53
winged beans cooked,253.0,18.3,10.0,25.7,0.0,0.0,0.0,60
pinto beans raw,670.0,41.3,2.4,120.7,4.1,29.9,0.0,142
black turtle beans raw,624.0,39.1,1.7,116.4,3.9,28.5,0.0,134
fava beans raw,512.0,39.2,2.3,87.4,8.6,37.5,0.0,123
lima beans canned,190.0,11.9,0.4,35.9,0.0,11.6,0.0,41
hyacinth beans raw,722.0,50.2,3.5,127.6,0.0,53.8,0.0,150
white beans raw,673.0,47.2,1.7,121.7,4.3,30.7,0.0,150
snap beans canned,66.0,3.5,0.4,15.4,0.0,6.6,0.0,14
navy beans canned,296.0,19.7,1.1,53.6,0.7,13.4,0.0,66
mung beans raw,718.0,49.4,2.4,129.6,13.7,33.7,0.0,150
adzuki beans raw,648.0,39.1,1.0,123.9,0.0,25.0,0.0,136
black turtle beans cooked,241.0,15.1,0.6,45.0,0.6,15.4,0.0,52
pink lentils raw,662.0,47.9,4.2,113.6,0.0,20.7,0.0,150
yellow beans raw,676.0,43.1,5.1,119.0,0.0,49.2,0.0,147
white beans cooked,249.0,17.4,0.6,44.9,0.6,11.3,0.0,57
lentils raw,678.0,49.5,2.0,115.4,3.9,58.6,0.0,150
cranberry beans cooked,241.0,16.5,0.8,43.3,0.0,17.7,0.0,55
chickpeas raw,728.0,38.6,12.1,121.3,21.4,34.8,0.0,144
lentils cooked,230.0,17.9,0.8,39.9,3.6,15.6,0.0,56
baked beans canned,239.0,12.1,0.9,53.7,20.2,10.4,0.0,48
cranberry beans canned,216.0,14.4,0.7,39.3,0.0,16.4,0.0,48
black beans cooked,227.0,15.2,0.9,40.8,0.0,15.0,0.0,51
lima beans cooked,216.0,14.7,0.7,39.3,5.5,13.2,0.0,49
mungo beans raw,706.0,52.2,3.4,122.1,0.0,37.9,0.0,150
pigeon peas raw,703.0,44.5,3.1,128.7,0.0,30.8,0.0,150
fava beans canned,182.0,14.0,0.6,31.8,0.0,9.5,0.0,44
yellow snap beans raw,31.0,1.8,0.1,7.1,0.0,3.4,0.0,10
snap beans raw,31.0,1.8,0.2,7.0,3.3,2.7,0.0,10
yellow snap beans canned,36.0,1.9,0.2,8.4,0.0,3.6,0.0,10
pigeon peas cooked,203.0,11.4,0.6,39.1,0.0,11.3,0.0,42
catjang cowpeas raw,573.0,39.8,3.5,99.6,0.0,17.9,0.0,130
navy beans cooked,255.0,15.0,1.1,47.4,0.7,19.1,0.0,53
mothbeans raw,672.0,45.0,3.2,120.6,0.0,0.0,0.0,150
cowpeas cooked,81.0,5.4,0.4,14.5,2.3,4.6,0.0,18
mothbeans cooked,207.0,13.8,1.0,37.1,0.0,0.0,0.0,46
french beans cooked,228.0,12.5,1.3,42.5,0.0,16.6,0.0,46
lima beans raw,602.0,38.2,1.2,112.8,15.1,33.8,0.0,130
winged beans raw,744.0,54.0,29.7,75.9,0.0,47.1,0.0,150
adzuki beans cooked,294.0,17.3,0.2,57.0,0.0,16.8,0.0,61
black beans raw,662.0,41.9,2.8,121.0,4.1,30.1,0.0,143
catjang cowpeas cooked,200.0,13.9,1.2,34.7,0.0,6.2,0.0,46
baby lima beans cooked,189.0,12.0,0.5,35.0,2.5,10.8,0.0,41
cowpeas raw,41.0,3.1,0.3,8.9,4.7,3.1,0.0,11
shellie beans canned,74.0,4.3,0.5,15.2,1.5,8.3,0.0,16
yardlong beans raw,579.0,40.6,2.2,103.4,0.0,18.4,0.0,132
pinto beans canned,197.0,11.0,1.3,36.4,2.4,11.0,0.0,40
chickpeas cooked,269.0,14.5,4.2,45.0,7.9,12.5,0.0,54
cranberry beans raw,653.0,44.9,2.4,117.1,0.0,48.2,0.0,148
mungo beans cooked,189.0,13.6,1.0,33.0,3.6,11.5,0.0,44
tamarinds,5.0,0.057,0.013,1.3,0.8,0.1,0.0,10
yellow snap beans cooked,44.0,2.4,0.4,9.9,4.5,4.1,0.0,10
yardlong beans cooked,202.0,14.2,0.8,36.1,0.0,6.5,0.0,47
bacon beef steak,146.0,8.2,12.5,0.2,0.2,0.0,28.9,30
lamb foreshank raw,912.0,85.8,60.7,0.0,0.0,0.0,326.6,150
bacon,106.0,3.3,10.2,0.2,0.2,0.0,0.0,18
lamb rib cooked,915.0,53.9,76.0,0.0,0.0,0.0,247.4,150
lamb shank raw,912.0,84.3,61.2,0.0,0.0,0.0,303.9,150
scrapple,60.0,2.3,3.9,4.0,0.063,0.052,13.9,11
chicken nuggets,61.0,3.2,4.1,3.0,0.039,0.2,8.6,13
ground lamb cooked,886.0,77.5,61.5,0.0,0.0,0.0,303.6,150
lamb meat cooked,678.0,63.8,45.0,0.0,0.0,0.0,240.0,150
meat extender,275.0,33.5,2.6,33.7,0.0,15.4,0.0,89
lamb leg raw,1043.0,81.2,77.4,0.0,0.0,0.0,313.0,150
lamb loin cooked,202.0,16.1,14.8,0.0,0.0,0.0,64.0,50
chicken patty,172.0,8.9,11.7,7.7,0.0,0.2,25.8,34
lamb shank roasted,605.0,71.0,33.5,0.0,0.0,0.0,242.1,150
barbecue loaf,40.0,3.6,2.0,1.5,0.0,0.0,8.5,11
lamb sirloin cooked,765.0,64.5,54.2,0.0,0.0,0.0,254.1,150
poultry salad,26.0,1.5,1.8,1.0,0.0,0.0,3.9,10
ground lamb raw,80.0,4.7,6.6,0.0,0.0,0.0,20.7,17
lamb loin raw,88.0,4.6,7.5,0.0,0.0,0.0,20.9,18
lamb sirloin raw,1234.0,76.8,100.3,0.0,0.0,0.0,326.6,150
sausage patty mcdonalds,115.0,4.3,11.2,0.4,0.1,0.0,20.9,21
lamb foreshank cooked,360.0,42.0,19.9,0.0,0.0,0.0,156.9,112
ham salad,97.0,3.9,7.0,4.8,0.0,0.0,16.7,18
lamb rib raw,1687.0,65.9,156.0,0.0,0.0,0.0,344.7,150
lamb shoulder raw,1198.0,75.2,97.3,0.0,0.0,0.0,326.6,150
lamb meat raw,1102.0,79.6,84.6,0.0,0.0,0.0,317.5,150
lamb shoulder cooked,750.0,62.5,53.5,0.0,0.0,0.0,252.9,150
mutton cooked,66.0,9.5,3.1,0.027,0.0,0.0,30.8,24
lamb leg cooked,684.0,67.7,43.7,0.0,0.0,0.0,246.5,150
beef stick,110.0,4.3,9.9,1.1,0.0,0.0,26.6,20
veal sirloin cooked,517.0,64.1,26.9,0.0,0.0,0.0,221.4,150
veal rib cooked,444.0,57.4,22.2,0.0,0.0,0.0,246.0,149
veal meat cooked,483.0,62.9,23.8,0.0,0.0,0.0,238.3,150
beef rib roasted,238.0,15.4,19.1,0.0,0.0,0.0,57.0,53
veal sirloin raw,689.0,86.5,35.4,0.0,0.0,0.0,353.8,150
beef top loin filet grilled,323.0,37.0,19.0,0.8,0.0,0.0,116.1,100
beef under blade steak cooked,983.0,140.8,46.7,0.0,0.0,0.0,480.4,150
mock tender steak raw,244.0,42.2,8.3,0.0,0.0,0.0,132.7,101
ground beef cooked,375.0,35.5,24.8,0.0,0.0,0.0,122.3,103
ground beef raw,1506.0,65.1,136.1,0.0,0.0,0.0,353.8,150
beef diced asda,48.0,0.0,0.7,10.5,0.054,0.0,0.0,10
veal rib raw,735.0,85.5,40.9,0.0,0.0,0.0,372.0,150
ground veal raw,41.0,5.5,1.9,0.0,0.0,0.0,23.2,14
t bone steak cooked,1049.0,89.3,74.1,0.0,0.0,0.0,301.3,150
veal leg round raw,531.0,95.2,14.0,0.0,0.0,0.0,353.8,150
beef top sirloin steak raw,1222.0,123.4,77.3,0.0,0.0,0.0,456.0,150
beef plate steak grilled,508.0,47.1,35.6,0.0,0.0,0.0,177.5,138
ground veal cooked,514.0,72.9,22.6,0.0,0.0,0.0,308.0,150
veal leg round cooked,574.0,98.4,17.2,0.0,0.0,0.0,364.5,150
porterhouse steak raw,1170.0,81.6,91.1,0.0,0.0,0.0,308.4,150
veal shank raw,513.0,86.9,15.8,0.0,0.0,0.0,340.2,150
veal breast cooked,753.0,76.3,47.5,0.0,0.0,0.0,319.8,150
corned beef canned,53.0,5.7,3.1,0.0,0.0,0.0,18.1,16
rib eye steak grilled,680.0,62.4,47.7,0.0,0.0,0.0,195.8,150
veal shoulder raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
t bone steak raw,1052.0,85.7,76.3,0.0,0.0,0.0,281.2,150
sirloin steak,324.0,49.5,14.1,0.0,0.0,0.0,144.4,123
mock tender steak cooked,137.0,21.9,4.9,0.0,0.0,0.0,55.3,54
beef round steak cooked,385.0,64.8,12.1,0.0,0.0,0.0,174.3,150
chuck blade roast raw,1125.0,77.8,88.0,0.0,0.0,0.0,322.1,150
beef shoulder steak raw,349.0,48.2,17.3,0.0,0.0,0.0,164.9,123
beef top blade cooked,184.0,21.9,10.0,0.0,0.0,0.0,51.9,58
corned beef cooked,53.0,3.8,4.0,0.006,0.0,0.0,20.6,13
beef round steak raw,753.0,100.1,36.0,0.0,0.0,0.0,313.0,150
beef shoulder steak grilled,155.0,24.0,5.8,0.0,0.0,0.0,68.9,59
chuck eye steak raw,856.0,72.4,62.8,0.0,0.0,0.0,261.1,150
beef bottom round steak cooked,980.0,155.8,35.1,0.0,0.0,0.0,426.4,150
porterhouse steak cooked,235.0,20.4,16.4,0.0,0.0,0.0,57.0,61
beef under blade steak raw,1235.0,126.8,80.8,0.0,0.0,0.0,431.0,150
beef plate steak raw,617.0,47.8,46.8,0.9,0.0,0.0,188.9,150
beef meat canned,111.0,9.2,7.9,0.0,0.0,0.0,34.7,28
beef breakfast strips raw,92.0,2.8,8.8,0.2,0.0,0.0,18.5,15
beef brisket cooked,589.0,46.0,43.6,0.0,0.0,0.0,165.5,144
corned beef raw,898.0,66.6,67.6,0.6,0.0,0.0,244.9,150
